query_id,difficulty,city,latitude,longitude,min_rating,radius_km,num_days,start_date,user_message,hard_constraints
1,easy,Tokyo,35.6762,139.6503,4.0,3,2,2024-03-15,"I'm planning a 2-day trip to Tokyo and would love to visit popular tourist attractions and try some good sushi restaurants for lunch.","cuisine_type:sushi-attraction_type:tourist-meal_type:lunch"
2,easy,Paris,48.8566,2.3522,4.2,2,1,2024-04-20,"I want to explore Paris in one day visiting famous landmarks and enjoying French cafes.","cuisine_type:French-attraction_type:landmark-venue_type:cafe"
3,easy,New York,40.7128,-74.0060,4.0,5,3,2024-05-10,"I'm looking for a 3-day NYC trip covering Manhattan with good restaurants for dinner and some museums to visit.","borough:Manhattan-attraction_type:museum-meal_preference:dinner"
4,easy,London,51.5074,-0.1278,4.1,4,2,2024-06-05,"I need a London weekend trip plan that includes museums, parks, and traditional English food.","attraction_type:museum-park-cuisine_type:traditional_english"
5,easy,Rome,41.9028,12.4964,4.0,3,2,2024-07-12,"I'm planning a 2-day Rome trip to see historical sites and enjoy authentic Italian restaurants for dinner.","attraction_type:historical-cuisine_type:italian-meal_type:dinner"
6,easy,Barcelona,41.3851,2.1734,4.2,4,3,2024-08-18,"I want a 3-day Barcelona trip that includes beaches, Spanish food, and some swimming activities.","attraction_type:beach-cuisine_type:spanish-activity_type:swimming"
7,easy,Sydney,-33.8688,151.2093,4.0,6,2,2024-09-22,"I'm looking for a 2-day Sydney trip to see the harbor, do some city sightseeing, and try seafood restaurants.","attraction_type:harbor-sightseeing-cuisine_type:seafood"
8,easy,Amsterdam,52.3676,4.9041,4.1,3,2,2024-10-08,"I want to take a canal tour, visit museums, and try local Dutch food during my 2-day Amsterdam trip.","attraction_type:canal-museum-cuisine_type:dutch"
9,easy,Berlin,52.5200,13.4050,4.0,5,2,2024-11-14,"I'm planning a 2-day Berlin trip focused on history and culture with some German restaurants.","attraction_type:historical-cultural-cuisine_type:german"
10,easy,Prague,50.0755,14.4378,4.2,3,2,2024-12-01,"I want a Prague weekend trip to see the castle, explore old town, and experience Czech beer and food.","attraction_type:castle-old_town-cuisine_type:czech"
11,easy,Vienna,48.2082,16.3738,4.1,4,2,2024-03-25,"I'm interested in Vienna's classical music venues, coffee houses, and Austrian cuisine during my 2-day visit.","attraction_type:music-venue_type:coffee_house-cuisine_type:austrian"
12,easy,Dubai,25.2048,55.2708,4.0,8,2,2024-04-30,"I want to go shopping, see modern attractions, and try international cuisine during my 2-day Dubai trip.","attraction_type:shopping-modern-cuisine_type:international"
13,easy,Singapore,1.3521,103.8198,4.2,4,2,2024-05-15,"I'm planning a 2-day Singapore trip to visit gardens and eat at local food courts.","attraction_type:garden-venue_type:food_court-cuisine_type:local"
14,easy,Istanbul,41.0082,28.9784,4.0,6,3,2024-06-20,"I want a 3-day Istanbul trip to explore historical sites and enjoy Turkish restaurants for lunch.","attraction_type:historical-cuisine_type:turkish-meal_type:lunch"
15,easy,Bangkok,13.7563,100.5018,4.1,5,2,2024-07-25,"I'm looking for a 2-day Bangkok trip to visit temples, explore street food markets, and try local street food.","attraction_type:temple-venue_type:market-cuisine_type:street_food"
16,easy,Mumbai,19.0760,72.8777,4.0,7,2,2024-08-30,"I want a 2-day Mumbai city tour that includes Indian restaurants and visits to local markets.","attraction_type:city_tour-cuisine_type:indian-venue_type:market"
17,easy,Cape Town,-33.9249,18.4241,4.2,8,3,2024-09-05,"I'm planning a 3-day Cape Town trip to see the mountain, do wine tasting, and try local restaurants.","attraction_type:mountain-activity_type:wine_tasting-cuisine_type:local"
18,easy,Rio de Janeiro,-22.9068,-43.1729,4.0,6,2,2024-10-10,"I want a 2-day Rio trip to enjoy the beaches, see city landmarks, and eat Brazilian food.","attraction_type:beach-landmark-cuisine_type:brazilian"
19,easy,Buenos Aires,-34.6118,-58.3960,4.1,5,2,2024-11-18,"I'm looking for a 2-day Buenos Aires trip to visit cultural sites and enjoy steakhouses for dinner.","attraction_type:cultural-cuisine_type:steakhouse-meal_type:dinner"
20,easy,Mexico City,19.4326,-99.1332,4.0,6,3,2024-12-15,"I want a 3-day Mexico City trip to visit museums and enjoy Mexican restaurants for lunch.","attraction_type:museum-cuisine_type:mexican-meal_type:lunch"
21,easy,Toronto,43.6532,-79.3832,4.1,5,2,2024-01-20,"I'm planning a 2-day Toronto trip to see city attractions and try Canadian restaurants for dinner.","attraction_type:city-cuisine_type:canadian-meal_type:dinner"
22,easy,Melbourne,-37.8136,144.9631,4.0,6,2,2024-02-25,"I want to explore Melbourne's coffee shops, visit cultural attractions, and experience the coffee culture.","venue_type:coffee_shop-attraction_type:cultural-cuisine_type:coffee"
23,easy,Hong Kong,22.3193,114.1694,4.2,4,2,2024-03-30,"I'm looking for a 2-day Hong Kong trip to see skyline views and try dim sum restaurants for lunch.","attraction_type:skyline-cuisine_type:dim_sum-meal_type:lunch"
24,easy,Seoul,37.5665,126.9780,4.0,5,2,2024-04-05,"I want a 2-day Seoul trip to visit palaces and enjoy Korean BBQ restaurants for dinner.","attraction_type:palace-cuisine_type:korean_bbq-meal_type:dinner"
25,easy,Tel Aviv,32.0853,34.7818,4.1,3,2,2024-05-20,"I'm planning a 2-day Tel Aviv trip to enjoy the beaches and try Mediterranean restaurants for lunch.","attraction_type:beach-cuisine_type:mediterranean-meal_type:lunch"
26,easy,Lisbon,38.7223,-9.1393,4.0,4,2,2024-06-25,"I want to see Lisbon's historic sites and enjoy Portuguese restaurants for dinner during my 2-day visit.","attraction_type:historic-cuisine_type:portuguese-meal_type:dinner"
27,easy,Stockholm,59.3293,18.0686,4.2,5,2,2024-07-30,"I'm looking for a 2-day Stockholm city tour with Scandinavian cuisine for lunch.","attraction_type:city_tour-cuisine_type:scandinavian-meal_type:lunch"
28,easy,Copenhagen,55.6761,12.5683,4.1,3,2,2024-08-05,"I want a 2-day Copenhagen trip to visit parks and enjoy Danish restaurants for dinner.","attraction_type:park-cuisine_type:danish-meal_type:dinner"
29,easy,Zurich,47.3769,8.5417,4.0,4,2,2024-09-10,"I'm planning a 2-day Zurich trip to see lakes and try Swiss restaurants for lunch.","attraction_type:lake-cuisine_type:swiss-meal_type:lunch"
30,easy,Helsinki,60.1699,24.9384,4.1,4,2,2024-10-15,"I want a 2-day Helsinki trip to explore the waterfront and enjoy Finnish restaurants for dinner.","attraction_type:waterfront-cuisine_type:finnish-meal_type:dinner"
31,easy,Oslo,59.9139,10.7522,4.0,5,2,2024-11-20,"I'm looking for a 2-day Oslo trip to visit museums and try Norwegian seafood restaurants for lunch.","attraction_type:museum-cuisine_type:norwegian_seafood-meal_type:lunch"
32,easy,Reykjavik,64.1466,-21.9426,4.2,6,2,2024-12-25,"I want a 2-day Reykjavik trip to explore the city center and enjoy Icelandic restaurants for dinner.","attraction_type:city_center-cuisine_type:icelandic-meal_type:dinner"
33,easy,Warsaw,52.2297,21.0122,4.0,4,2,2024-01-10,"I'm planning a 2-day Warsaw trip to see the old town and try Polish restaurants for lunch.","attraction_type:old_town-cuisine_type:polish-meal_type:lunch"
34,easy,Budapest,47.4979,19.0402,4.1,5,2,2024-02-14,"I want a 2-day Budapest trip to visit thermal baths and enjoy Hungarian restaurants for dinner.","attraction_type:thermal_bath-cuisine_type:hungarian-meal_type:dinner"
35,easy,Athens,37.9838,23.7275,4.0,4,2,2024-03-18,"I'm looking for a 2-day Athens trip to see ancient sites and try Greek restaurants for lunch.","attraction_type:ancient-cuisine_type:greek-meal_type:lunch"
36,easy,Cairo,30.0444,31.2357,4.1,6,3,2024-04-22,"I want a 3-day Cairo trip to visit the pyramids and enjoy Egyptian restaurants for dinner.","attraction_type:pyramid-cuisine_type:egyptian-meal_type:dinner"
37,easy,Marrakech,31.6295,-7.9811,4.0,5,2,2024-05-27,"I'm planning a 2-day Marrakech trip to explore markets and try Moroccan restaurants for lunch.","attraction_type:market-cuisine_type:moroccan-meal_type:lunch"
38,easy,Casablanca,33.5731,-7.5898,4.1,6,2,2024-06-30,"I want a 2-day Casablanca trip to visit mosques and enjoy Moroccan seafood for dinner.","attraction_type:mosque-cuisine_type:moroccan_seafood-meal_type:dinner"
39,easy,Lagos,6.5244,3.3792,4.0,7,2,2024-07-05,"I'm looking for a 2-day Lagos trip to enjoy beaches and try Nigerian restaurants for lunch.","attraction_type:beach-cuisine_type:nigerian-meal_type:lunch"
40,easy,Nairobi,-1.2921,36.8219,4.1,8,2,2024-08-10,"I want a 2-day Nairobi trip to visit parks and enjoy Kenyan restaurants for dinner.","attraction_type:park-cuisine_type:kenyan-meal_type:dinner"
41,medium,Tokyo,35.6762,139.6503,4.3,4,3,2024-03-15,"I'm planning a 3-day Tokyo trip with vegetarian restaurants as I follow a vegetarian diet, and I'd like to visit temples and shopping districts, but please avoid crowded areas.","cuisine_type:vegetarian-dietary_restriction:vegetarian-attraction_type:temple-shopping-avoid:crowded_areas"
42,medium,Paris,48.8566,2.3522,4.4,3,4,2024-04-20,"I need a 4-day Paris trip with gluten-free restaurants since I have dietary restrictions, and I want to visit museums, art galleries, and wine bars, but please avoid tourist traps.","cuisine_type:gluten_free-dietary_restriction:gluten_free-attraction_type:museum-art_gallery-avoid:tourist_traps"
43,medium,New York,40.7128,-74.0060,4.2,6,3,2024-05-10,"I'm looking for a 3-day NYC trip with rooftop restaurants covering Manhattan and Brooklyn, including family-friendly outdoor activities.","cuisine_type:rooftop-borough:Manhattan-Brooklyn-activity_type:outdoor-target_audience:family"
44,medium,London,51.5074,-0.1278,4.5,5,4,2024-06-05,"I want a 4-day London family trip with kid-friendly attractions and halal restaurants since we follow halal dietary restrictions, using only public transport.","family_friendly:true-cuisine_type:halal-dietary_restriction:halal-transport:public_only-target_audience:family"
45,medium,Rome,41.9028,12.4964,4.3,4,3,2024-07-12,"I'm planning a 3-day Rome trip with vegan Italian restaurants as I'm vegan, visiting historical sites, but avoiding midday times due to the hot weather.","cuisine_type:vegan_italian-dietary_restriction:vegan-attraction_type:historical-time_avoidance:midday-weather_consideration:hot"
46,medium,Barcelona,41.3851,2.1734,4.4,5,4,2024-08-18,"I want a 4-day Barcelona trip focusing on architecture and beaches with seafood restaurants, preferring evening activities, but avoiding busy tourist areas.","attraction_type:architecture-beach-cuisine_type:seafood-time_preference:evening-avoid:busy_tourist_areas"
47,medium,Sydney,-33.8688,151.2093,4.2,7,3,2024-09-22,"I'm looking for a 3-day Sydney harbor tour with wine tasting and upscale restaurants perfect for couples, but avoiding large tour groups.","attraction_type:harbor-activity_type:wine_tasting-dining_style:upscale-target_audience:couples-avoid:large_tour_groups"
48,medium,Amsterdam,52.3676,4.9041,4.5,4,3,2024-10-08,"I want a 3-day Amsterdam trip with canal tours, museums, and coffee shops, using bicycle-friendly routes, but avoiding tourist boats.","attraction_type:canal-museum-venue_type:coffee_shop-transport:bicycle-avoid:tourist_boats"
49,medium,Berlin,52.5200,13.4050,4.3,6,4,2024-11-14,"I'm planning a 4-day Berlin trip to see history museums and experience nightlife with traditional German food, preferring evening activities, but avoiding mainstream tourist sites.","attraction_type:history_museum-nightlife-cuisine_type:traditional_german-avoid:mainstream_tourist_sites-time_preference:evening"
50,medium,Prague,50.0755,14.4378,4.4,4,3,2024-12-01,"I want a 3-day Prague trip to see the castle and do beer tours with traditional Czech restaurants, only walking for transportation, but avoiding crowds.","attraction_type:castle-activity_type:beer_tour-cuisine_type:traditional_czech-transport:walking_only-avoid:crowds"
51,medium,Vienna,48.2082,16.3738,4.5,5,4,2024-03-25,"I'm looking for a 4-day Vienna trip focused on classical music and coffee culture with wheelchair accessible venues since I need accessibility, but avoiding modern buildings.","attraction_type:classical_music-venue_type:coffee_house-accessibility:wheelchair-avoid:modern_buildings-target_audience:accessible"
52,medium,Dubai,25.2048,55.2708,4.2,10,3,2024-04-30,"I want a 3-day Dubai trip for shopping and modern architecture with halal restaurants, preferring indoor activities due to hot weather.","attraction_type:shopping-modern_architecture-cuisine_type:halal-activity_type:indoor-weather_consideration:hot"
53,medium,Singapore,1.3521,103.8198,4.4,5,3,2024-05-15,"I'm planning a 3-day Singapore trip to visit gardens and food courts with spicy food, needing air-conditioned venues, but avoiding shopping malls.","attraction_type:garden-venue_type:food_court-cuisine_preference:spicy-venue_requirement:air_conditioned-avoid:shopping_mall"
54,medium,Istanbul,41.0082,28.9784,4.3,7,4,2024-06-20,"I want a 4-day Istanbul trip to see historical sites and Turkish restaurants with sunset views, preferring evening times, but avoiding tourist markets.","attraction_type:historical-cuisine_type:turkish-view_requirement:sunset-avoid:tourist_market-time_preference:evening"
55,medium,Bangkok,13.7563,100.5018,4.4,6,3,2024-07-25,"I'm looking for a 3-day Bangkok trip to visit temples and markets with street food, using air-conditioned transport, but avoiding busy roads.","attraction_type:temple-market-cuisine_type:street_food-transport:air_conditioned-avoid:busy_road"
56,medium,Mumbai,19.0760,72.8777,4.2,8,4,2024-08-30,"I want a 4-day Mumbai city tour with vegetarian street food, preferring indoor activities during monsoon season, but avoiding crowded trains.","attraction_type:city_tour-cuisine_type:vegetarian_street_food-activity_type:indoor-weather:monsoon-avoid:crowded_train"
57,medium,Cape Town,-33.9249,18.4241,4.5,9,3,2024-09-05,"I'm planning a 3-day Cape Town trip for wine tasting and wildlife viewing with local restaurants, taking scenic drives, but avoiding commercial tours.","activity_type:wine_tasting-wildlife_viewing-cuisine_type:local-transport:scenic_drive-avoid:commercial_tour"
58,medium,Rio de Janeiro,-22.9068,-43.1729,4.3,7,4,2024-10-10,"I want a 4-day Rio trip to enjoy beaches and cultural sites with Brazilian barbecue, but avoiding busy beach areas during weekends.","attraction_type:beach-cultural-cuisine_type:brazilian_barbecue-avoid:busy_beach_area-time_avoidance:weekend"
59,medium,Buenos Aires,-34.6118,-58.3960,4.4,6,3,2024-11-18,"I'm looking for a 3-day Buenos Aires trip to visit cultural sites and steakhouses with wine tasting, preferring evening entertainment, but avoiding tourist restaurants.","attraction_type:cultural-cuisine_type:steakhouse-activity_type:wine_tasting-time_preference:evening-avoid:tourist_restaurant"
60,medium,Mexico City,19.4326,-99.1332,4.3,7,4,2024-12-15,"I want a 4-day Mexico City trip to visit museums and authentic Mexican food with spicy options, preferring authentic meals, but avoiding commercial areas.","attraction_type:museum-cuisine_type:authentic_mexican-cuisine_preference:spicy-avoid:commercial_area-meal_preference:authentic"
61,medium,Toronto,43.6532,-79.3832,4.4,6,3,2024-01-20,"I'm planning a 3-day Toronto winter trip to see attractions and Canadian restaurants with heated indoor venues due to cold weather, but avoiding chain restaurants.","season:winter-cuisine_type:canadian-venue_requirement:heated_indoor-avoid:chain_restaurant-weather_consideration:cold"
